code,name,account_type,currency,opening_balance
1974,Spärrade bankmedel,asset,SEK,0
1979,Övriga särskilda bankkonton,asset,SEK,0
1980,Valutakonton,asset,SEK,0
1990,Redovisningsmedel,asset,SEK,0
2000,Payables,liability,USD,0
2010,"Eget kapital, delägare 1",liability,SEK,0
2011,Egna varuuttag,liability,SEK,0
2013,Övriga egna uttag,liability,SEK,0
2017,Årets kapitaltillskott,liability,SEK,0
2018,Övriga egna insättningar,liability,SEK,0
2019,"Årets resultat, delägare 1",liability,SEK,0
2020,"Eget kapital, delägare 2",liability,SEK,0
2021,Egna varuuttag,liability,SEK,0
2023,Övriga egna uttag,liability,SEK,0
2027,Årets kapitaltillskott,liability,SEK,0
2028,Övriga egna insättningar,liability,SEK,0
2029,"Årets resultat, delägare 2",liability,SEK,0
2030,"Eget kapital, delägare 3",liability,SEK,0
2031,Egna varuuttag,liability,SEK,0
2033,Övriga egna uttag,liability,SEK,0
2037,Årets kapitaltillskott,liability,SEK,0
2038,Övriga egna insättningar,liability,SEK,0
2039,"Årets resultat, delägare 3",liability,SEK,0
2040,"Eget kapital, delägare 4",liability,SEK,0
2041,Egna varuuttag,liability,SEK,0
2043,Övriga egna uttag,liability,SEK,0
2047,Årets kapitaltillskott,liability,SEK,0
2048,Övriga egna insättningar,liability,SEK,0
2049,"Årets resultat, delägare 4",liability,SEK,0
2050,Avsättning till expansionsfond,liability,SEK,0
2060,"Eget kapital i ideella föreningar, stiftelser och registrerade trossamfund",liability,SEK,0
2061,Kapital/stiftelsekapital/grundkapital,liability,SEK,0
2064,Ackumulerat realisationsresultat,liability,SEK,0
2065,Fond för verkligt värde,liability,SEK,0
2066,Värdesäkringsfond,liability,SEK,0
2067,Balanserat överskott eller underskott,liability,SEK,0
2068,Överskott eller underskott från föregående år,liability,SEK,0
2069,Årets resultat,liability,SEK,0
2070,Ändamålsbestämda medel,liability,SEK,0
2071,Ändamål 1,liability,SEK,0
2072,Ändamål 2,liability,SEK,0
2080,Bundet eget kapital,liability,SEK,0
2081,Aktiekapital,liability,SEK,0
2082,Ej registrerat aktiekapital,liability,SEK,0
2083,Medlemsinsatser,liability,SEK,0
2084,Förlagsinsatser,liability,SEK,0
2085,Uppskrivningsfond,liability,SEK,0
2086,Reservfond,liability,SEK,0
2087,Bunden överkursfond,liability,SEK,0
2088,Fond för yttre underhåll,liability,SEK,0
2089,Fond för utvecklingsutgifter,liability,SEK,0
2090,Fritt eget kapital,liability,SEK,0
2091,Balanserad vinst eller förlust,liability,SEK,0
2092,Mottagna/lämnade koncernbidrag,liability,SEK,0
2093,Erhållna aktieägartillskott,liability,SEK,0
2094,Egna aktier,liability,SEK,0
2095,Fusionsresultat,liability,SEK,0
2096,Fond för verkligt värde,liability,SEK,0
2097,Fri överkursfond,liability,SEK,0
2098,Vinst eller förlust från föregående år,liability,SEK,0
2099,Årets resultat,liability,SEK,0
2110,Periodiseringsfonder,liability,SEK,0
2120,Periodiseringsfond 2020,liability,SEK,0
2121,Periodiseringsfond 2021,liability,SEK,0
2122,Periodiseringsfond 2022,liability,SEK,0
2123,Periodiseringsfond 2023,liability,SEK,0
2124,Periodiseringsfond 2024,liability,SEK,0
2125,Periodiseringsfond 2025,liability,SEK,0
2126,Periodiseringsfond 2026,liability,SEK,0
2127,Periodiseringsfond 2027,liability,SEK,0
2128,Periodiseringsfond 2018,liability,SEK,0
2129,Periodiseringsfond 2019,liability,SEK,0
2130,Periodiseringsfond 2020 - nr 2,liability,SEK,0
2131,Periodiseringsfond 2021 - nr 2,liability,SEK,0
2132,Periodiseringsfond 2022 - nr 2,liability,SEK,0
2133,Periodiseringsfond 2023 - nr 2,liability,SEK,0
2134,Periodiseringsfond 2024 - nr 2,liability,SEK,0
2135,Periodiseringsfond 2025 - nr 2,liability,SEK,0
2136,Periodiseringsfond 2026 - nr 2,liability,SEK,0
2137,Periodiseringsfond 2027 - nr 2,liability,SEK,0
2138,Periodiseringsfond 2018 - nr 2,liability,SEK,0
2139,Periodiseringsfond 2019 - nr 2,liability,SEK,0
2150,Ackumulerade överavskrivningar,liability,SEK,0
2151,Ackumulerade överavskrivningar på immateriella anläggningstillgångar,liability,SEK,0
2152,Ackumulerade överavskrivningar på byggnader och markanläggningar,liability,SEK,0
2153,Ackumulerade överavskrivningar på maskiner respektive inventarier,liability,SEK,0
2160,Ersättningsfond,liability,SEK,0
2161,Ersättningsfond maskiner och inventarier,liability,SEK,0
2162,Ersättningsfond byggnader och markanläggningar,liability,SEK,0
2164,Ersättningsfond för djurlager i jordbruk och renskötsel,liability,SEK,0
2190,Övriga obeskattade reserver,liability,SEK,0
2196,Lagerreserv,liability,SEK,0
2199,Övriga obeskattade reserver,liability,SEK,0
2210,Avsättningar för pensioner enligt tryggandelagen,liability,SEK,0
2220,Avsättningar för garantier,liability,SEK,0
2230,Övriga avsättningar för pensioner och liknande förpliktelser,liability,SEK,0
2240,Avsättningar för uppskjutna skatter,liability,SEK,0
2250,Övriga avsättningar för skatter,liability,SEK,0
2252,Avsättningar för tvistiga skatter,liability,SEK,0
2253,"Avsättningar särskild löneskatt, deklarationspost",liability,SEK,0
2290,Övriga avsättningar,liability,SEK,0
2310,Obligations- och förlagslån,liability,SEK,0
2320,Konvertibla lån och liknande,liability,SEK,0
2321,Konvertibla lån,liability,SEK,0
2322,Lån förenade med optionsrätt,liability,SEK,0
2323,Vinstandelslån,liability,SEK,0
2324,Kapitalandelslån,liability,SEK,0
2330,Kontokredit,liability,SEK,0
2331,Checkräkningskredit 1,liability,SEK,0
2332,Checkräkningskredit 2,liability,SEK,0
2340,Byggnadskreditiv,liability,SEK,0
2350,Andra långfristiga skulder till kreditinstitut,liability,SEK,0
2351,"Fastighetslån, långfristig del",liability,SEK,0
2355,Långfristiga lån i utländsk valuta från kreditinstitut,liability,SEK,0
2359,Övriga långfristiga lån från kreditinstitut,liability,SEK,0
2360,Långfristiga skulder till koncernföretag,liability,SEK,0
2361,Långfristiga skulder till moderföretag,liability,SEK,0
2362,Långfristiga skulder till dotterföretag,liability,SEK,0
2363,Långfristiga skulder till andra koncernföretag,liability,SEK,0
2370,"Långfristiga skulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",liability,SEK,0
2371,Långfristiga skulder till intresseföretag,liability,SEK,0
2372,Långfristiga skulder till gemensamt styrda företag,liability,SEK,0
2373,Långfristiga skulder till övriga företag som det finns ett ägarintresse i,liability,SEK,0
2390,Övriga långfristiga skulder,liability,SEK,0
2391,"Avbetalningskontrakt, långfristig del",liability,SEK,0
2392,Villkorliga långfristiga skulder,liability,SEK,0
2393,"Lån från närstående personer, långfristig del",liability,SEK,0
2394,Långfristiga leverantörskrediter,liability,SEK,0
2395,Andra långfristiga lån i utländsk valuta,liability,SEK,0
2396,Derivat,liability,SEK,0
2397,"Mottagna depositioner, långfristiga",liability,SEK,0
2399,Övriga långfristiga skulder,liability,SEK,0
2410,Andra kortfristiga låneskulder till kreditinstitut,liability,SEK,0
2411,Kortfristiga lån från kreditinstitut,liability,SEK,0
2412,"Byggnadskreditiv, kortfristig del",liability,SEK,0
2417,Kortfristig del av långfristiga skulder till kreditinstitut,liability,SEK,0
2419,Övriga kortfristiga skulder till kreditinstitut,liability,SEK,0
2420,Förskott från kunder,liability,SEK,0
2421,Ej inlösta presentkort,liability,SEK,0
2429,Övriga förskott från kunder,liability,SEK,0
2430,Pågående arbeten,liability,SEK,0
2431,"Pågående arbeten, fakturering",liability,SEK,0
